,Tipo da uva,Nome da uva,Ano,Kilogramas
495,TINTAS,Petit Verdot,2013,167522
496,TINTAS,Petite Sirah,2013,105934
497,TINTAS,Pinotage,2013,816883
498,TINTAS,Pinot Noir,2013,2392357
499,TINTAS,Pinot Saint George,2013,14120
500,TINTAS,Rebo,2013,19780
501,TINTAS,Refosco,2013,12080
502,TINTAS,Rondinella,2013,1089
503,TINTAS,Ruby Cabernet,2013,526124
504,TINTAS,Sangiovese,2013,277679
505,TINTAS,Tannat,2013,3612439
506,TINTAS,Tempranillo,2013,219163
507,TINTAS,Teroldego,2013,124542
508,TINTAS,Torrontes,2013,3090
509,TINTAS,Touriga Nacional,2013,136565
510,BRA,BRANCAS E ROSADAS,2013,36958341
511,BRANCAS E ROSADAS,Alvarinho,2013,12413
512,BRANCAS E ROSADAS,Arriloba,2013,28829
513,BRANCAS E ROSADAS,Chardonnay,2013,6174156
514,BRANCAS E ROSADAS,Chenin Blanc,2013,264090
515,BRANCAS E ROSADAS,Colombard,2013,673158
516,BRANCAS E ROSADAS,Flora,2013,72410
517,BRANCAS E ROSADAS,Gewurztraminer,2013,239469
518,BRANCAS E ROSADAS,Gros Manseng,2013,4640
519,BRANCAS E ROSADAS,Italia (Pirovano 65) (PE),2013,5671
520,BRANCAS E ROSADAS,Maccabeo,2013,3558
521,BRANCAS E ROSADAS,Malvasia Amarela,2013,519959
522,BRANCAS E ROSADAS,Malvasia Bianca,2013,184949
523,BRANCAS E ROSADAS,Malvasia Chianti,2013,5061
524,BRANCAS E ROSADAS,Malvasia Verde,2013,18690
525,BRANCAS E ROSADAS,Malvasia di Candia,2013,1692882
526,BRANCAS E ROSADAS,Moscato Branco,2013,13136399
527,BRANCAS E ROSADAS,Moscato Canelli,2013,64800
528,BRANCAS E ROSADAS,Moscato Giallo,2013,1813522
529,BRANCAS E ROSADAS,Moscato Nazareno,2013,831206
530,BRANCAS E ROSADAS,Moscato Bianco R2,2013,678267
531,BRANCAS E ROSADAS,Moscato de Alexandria,2013,211532
532,BRANCAS E ROSADAS,Peverella,2013,44137
533,BRANCAS E ROSADAS,Pinot Blanc,2013,8720
534,BRANCAS E ROSADAS,Pinot Gris,2013,126844
535,BRANCAS E ROSADAS,Prosecco,2013,2852648
536,BRANCAS E ROSADAS,Riesling Italico,2013,3069854
537,BRANCAS E ROSADAS,Riesling Renano,2013,99230
538,BRANCAS E ROSADAS,Sauvignon Blanc(2),2013,633633
539,BRANCAS E ROSADAS,Sauvignon Gris,2013,3737
540,BRANCAS E ROSADAS,Semillon,2013,335323
541,BRANCAS E ROSADAS,Schonburger,2013,14087
542,BRANCAS E ROSADAS,Sylvaner,2013,155
543,BRANCAS E ROSADAS,Trebbiano,2013,2876041
544,BRANCAS E ROSADAS,Vermentino,2013,3220
545,BRANCAS E ROSADAS,Vernaccia,2013,7970
