,data,pais_origem,continente_destino,pais_destino,litro,valor_usd,valor_real,real_projecao
103,2009-01-01,Brasil,Europa,Luxemburgo,7845,42124,83976.26650079999,real
104,2009-01-01,Brasil,América Central,Nicaragua,24,24,47.845180799999994,real
105,2009-01-01,Brasil,África,Nigéria,41,115,229.25815799999998,real
106,2009-01-01,Brasil,América Central,Panamá,24,30,59.806475999999996,real
107,2009-01-01,Brasil,América do Sul,Paraguai,486927,392087,781644.7251804,real
108,2009-01-01,Brasil,Europa,Países Baixos,171654,136991,273098.2984572,real
109,2009-01-01,Brasil,Europa,Polônia,6982,35797,71363.0807124,real
110,2009-01-01,Brasil,Europa,Portugal,141000,168923,336756.3115116,real
111,2009-01-01,Brasil,Europa,Reino Unido,30092,68788,137132.2623696,real
112,2009-01-01,Brasil,Europa,Rússia,21912914,5732280,11427582.208176,real
113,2009-01-01,Brasil,América do Sul,Suriname,3830,12918,25752.668565599997,real
114,2009-01-01,Brasil,Europa,Suécia,28334,52826,105311.23003919999,real
115,2009-01-01,Brasil,Europa,Suíça,27653,81319,162113.4273948,real
116,2009-01-01,Brasil,Europa,"Tcheca, República",9269,43902,87520.7969784,real
117,2009-01-01,Brasil,Ásia,Vietnã,743,2143,4272.1759356,real
118,2010-01-01,Brasil,Europa,"Alemanha, República Democrática",27715,138666,243956.08821752988,real
119,2010-01-01,Brasil,África,Angola,33557,189891,334076.59806812747,real
120,2010-01-01,Brasil,América Central,Antilhas Holandesas,9810,12808,22533.206250199204,real
121,2010-01-01,Brasil,Oceania,Austrália,1823,17960,31597.15679681275,real
122,2010-01-01,Brasil,América do Norte,Bahamas,3175,12759,22447.00019880478,real
123,2010-01-01,Brasil,América do Sul,Bolívia,54,282,496.124622310757,real
124,2010-01-01,Brasil,Europa,Bélgica,42532,185411,326194.90194063744,real
125,2010-01-01,Brasil,África,Cabo Verde,11991,49366,86849.9578191235,real
126,2010-01-01,Brasil,Ásia,China,795,2358,4148.446309960159,real
127,2010-01-01,Brasil,Ásia,Cingapura,1533,5504,9683.226670916334,real
128,2010-01-01,Brasil,Europa,Dinamarca,7034,69161,121675.4432752988,real
129,2010-01-01,Brasil,Ásia,Emirados Arabes Unidos,1035,3206,5640.33879123506,real
130,2010-01-01,Brasil,América do Norte,Estados Unidos,228968,478630,842057.1914063744,real
131,2010-01-01,Brasil,Europa,Estônia,15848,40778,71741.0278318725,real
132,2010-01-01,Brasil,Europa,França,3614,18904,33257.942766533866,real
133,2010-01-01,Brasil,América do Sul,Guiana,783,3654,6428.508403984064,real
134,2010-01-01,Brasil,África,Guine Equatorial,410,1015,1785.6967788844622,real
135,2010-01-01,Brasil,América do Norte,Haiti,2700,3750,6597.401892430279,real
136,2010-01-01,Brasil,Europa,Hungria,540,4103,7218.4373239043825,real
137,2010-01-01,Brasil,Europa,Irlanda,3969,42795,75289.55039641434,real
138,2010-01-01,Brasil,Europa,Itália,1458,4828,8493.93502310757,real
139,2010-01-01,Brasil,Ásia,Japão,112178,74628,131293.5755808765,real
140,2010-01-01,Brasil,Europa,Luxemburgo,7344,32549,57263.689119123504,real
141,2010-01-01,Brasil,América do Sul,Paraguai,510989,449197,790275.5034330677,real
142,2010-01-01,Brasil,Europa,Países Baixos,87368,302182,531630.9596422311,real
143,2010-01-01,Brasil,Europa,Polônia,20464,95198,167482.52409482072,real
144,2010-01-01,Brasil,Europa,Portugal,4577,18970,33374.057039840634,real
145,2010-01-01,Brasil,Europa,Reino Unido,123624,295690,520209.53748605575,real
146,2010-01-01,Brasil,América do Sul,Suriname,1836,1269,2232.560800398406,real
147,2010-01-01,Brasil,Europa,Suíça,2025,21600,38001.03490039841,real
148,2010-01-01,Brasil,Europa,"Tcheca, República",1091,5285,9297.938400398407,real
149,2010-01-01,Brasil,América do Sul,Uruguai,914,2929,5153.010704780876,real
150,2010-01-01,Brasil,Ásia,Vietnã,8820,9977,17552.60764820717,real
151,2011-01-01,Brasil,Europa,"Alemanha, República Democrática",36070,144150,241398.52900398406,real
152,2011-01-01,Brasil,África,Angola,13889,69001,115551.43877768924,real
153,2011-01-01,Brasil,América Central,Antilhas Holandesas,7335,10188,17061.173870916333,real
154,2011-01-01,Brasil,América do Sul,Argentina,13253,55460,92875.21622310756,real
155,2011-01-01,Brasil,América Central,Aruba,900,1680,2813.385561752988,real
156,2011-01-01,Brasil,Oceania,Austrália,3632,40704,68164.31303904383,real
157,2011-01-01,Brasil,América do Norte,Bahamas,4529,28810,48246.21311553785,real
158,2011-01-01,Brasil,América do Sul,Bolívia,12775,20215,33852.73162549801,real
159,2011-01-01,Brasil,Europa,Bélgica,11802,62339,104395.02531792829,real
160,2011-01-01,Brasil,África,Cabo Verde,600,825,1381.5732669322708,real
161,2011-01-01,Brasil,América do Norte,Canadá,28906,128076,214480.45786135457,real
162,2011-01-01,Brasil,Ásia,China,54156,334867,560779.7517306773,real
163,2011-01-01,Brasil,Ásia,Cingapura,911,3317,5554.761850199203,real
164,2011-01-01,Brasil,África,Congo,360,570,954.541529880478,real
165,2011-01-01,Brasil,América do Norte,Cuba,2880,4899,8204.033254183267,real
166,2011-01-01,Brasil,Europa,Dinamarca,32797,83057,139090.09797768923,real
167,2011-01-01,Brasil,Ásia,Emirados Arabes Unidos,2120,6594,11042.538329880477,real
168,2011-01-01,Brasil,Europa,Espanha,5206,24618,41226.14628525896,real
169,2011-01-01,Brasil,América do Norte,Estados Unidos,306787,1030254,1725298.6479394422,real
170,2011-01-01,Brasil,Europa,Estônia,450,5336,8935.848427091634,real
171,2011-01-01,Brasil,Europa,Finlândia,12404,50394,84391.51904701196,real
172,2011-01-01,Brasil,África,Guine Equatorial,956,1979,3314.101206374502,real
173,2011-01-01,Brasil,Ásia,Hong Kong,2063,7975,13355.208247011951,real
174,2011-01-01,Brasil,Europa,Irlanda,5376,35690,59767.69684462151,real
175,2011-01-01,Brasil,Europa,Itália,11999,80298,134469.78204621514,real
176,2011-01-01,Brasil,Ásia,Japão,100835,144662,242255.94174661353,real
177,2011-01-01,Brasil,Europa,Luxemburgo,9547,65592,109842.61057529881,real
178,2011-01-01,Brasil,América do Norte,México,1350,7200,12057.366693227092,real
179,2011-01-01,Brasil,África,Nigéria,54,210,351.6731952191235,real
180,2011-01-01,Brasil,Europa,Noruega,10268,78688,131773.62088286853,real
181,2011-01-01,Brasil,Oceania,Nova Zelândia,2587,7992,13383.67702948207,real
182,2011-01-01,Brasil,América do Sul,Paraguai,240168,276281,462669.6288015936,real
183,2011-01-01,Brasil,Europa,Países Baixos,125414,395356,662076.7036621514,real
184,2011-01-01,Brasil,Europa,Polônia,11732,50684,84877.16298326693,real
185,2011-01-01,Brasil,Europa,Portugal,95,1031,1726.5479250996016,real
186,2011-01-01,Brasil,Europa,Reino Unido,122629,285642,478345.8801370518,real
187,2011-01-01,Brasil,América do Sul,Suriname,3774,3735,6254.758972111554,real
188,2011-01-01,Brasil,Europa,Suécia,1641,14476,24242.005590438246,real
189,2011-01-01,Brasil,Ásia,Taiwan (FORMOSA),4500,10600,17751.123187250996,real
190,2011-01-01,Brasil,Europa,"Tcheca, República",6846,37271,62415.29361434263,real
191,2011-01-01,Brasil,América do Sul,Uruguai,1238,4404,7375.089294023905,real
192,2012-01-01,Brasil,Europa,"Alemanha, República Democrática",8189,56342,110148.13861274901,real
193,2012-01-01,Brasil,África,Angola,2833,8861,17323.180864143425,real
194,2012-01-01,Brasil,América Central,Antilhas Holandesas,9247,14081,27528.237190836655,real
195,2012-01-01,Brasil,Oceania,Austrália,9345,56045,109567.50609760956,real
196,2012-01-01,Brasil,América do Norte,Bahamas,1374,12087,23629.98387370518,real
197,2012-01-01,Brasil,América do Sul,Bolívia,11868,16804,32851.67940876494,real
198,2012-01-01,Brasil,Europa,Bélgica,16132,90718,177352.93100478087,real
199,2012-01-01,Brasil,América do Norte,Canadá,14304,146035,285497.2031932271,real
200,2012-01-01,Brasil,América do Sul,Chile,8550,15438,30181.1608374502,real
201,2012-01-01,Brasil,Ásia,China,87905,642177,1255450.6622043825,real
202,2012-01-01,Brasil,Ásia,Cingapura,1212,5310,10381.005573705179,real
203,2012-01-01,Brasil,Europa,Dinamarca,4716,23802,46532.710859760955,real
204,2012-01-01,Brasil,Ásia,Emirados Arabes Unidos,675,3300,6451.472390438247,real
205,2012-01-01,Brasil,América do Norte,Estados Unidos,146585,303986,594290.0866908367,real
206,2012-01-01,Brasil,Europa,Estônia,3321,19384,37895.55782310757,real
207,2012-01-01,Brasil,Europa,Finlândia,17100,67959,132859.2764187251,real
208,2012-01-01,Brasil,Europa,França,195604,185791,363219.8505733068,real
209,2012-01-01,Brasil,África,Guine Equatorial,819,2530,4946.128832669323,real
210,2012-01-01,Brasil,Ásia,Hong Kong,1609,7653,14961.550970916334,real
211,2012-01-01,Brasil,Europa,Itália,792,5622,10990.962963346614,real
212,2012-01-01,Brasil,Ásia,Japão,29281,116961,228657.77644183268,real
213,2012-01-01,Brasil,Europa,Luxemburgo,2444,16547,32349.246558964143,real
214,2012-01-01,Brasil,África,Nigéria,6449,10196,19933.094694820717,real
215,2012-01-01,Brasil,Europa,Noruega,5104,31515,61611.56132868526,real
216,2012-01-01,Brasil,Oceania,Nova Zelândia,2364,8817,17237.161232270915,real
217,2012-01-01,Brasil,América Central,Panamá,39,2262,4422.191074900398,real
218,2012-01-01,Brasil,América do Sul,Paraguai,354824,428279,837281.8617892431,real
219,2012-01-01,Brasil,Europa,Países Baixos,134879,539641,1054993.6400752987,real
220,2012-01-01,Brasil,Europa,Polônia,21663,89158,174303.1440565737,real
221,2012-01-01,Brasil,Europa,Portugal,47172,47022,91927.61658884463,real
222,2012-01-01,Brasil,África,Quênia,94,458,895.38616812749,real
223,2012-01-01,Brasil,Europa,Reino Unido,82937,334856,654640.6784159363,real
224,2012-01-01,Brasil,Europa,Rússia,4528176,2103968,4113239.837080478,real
225,2012-01-01,Brasil,América do Sul,Suriname,396,1288,2518.0292239043824,real
226,2012-01-01,Brasil,Europa,Suécia,2705,17280,33782.25542629482,real
227,2012-01-01,Brasil,Europa,Suíça,4014,47240,92353.80476494024,real
228,2012-01-01,Brasil,Europa,"Tcheca, República",7960,27789,54327.26250239044,real
229,2012-01-01,Brasil,América Central,Trinidade Tobago,531,2720,5317.5772430278885,real
230,2012-01-01,Brasil,América do Sul,Uruguai,1135,3879,7583.41254621514,real
231,2012-01-01,Brasil,América do Sul,Venezuela,1029,7492,14646.797317928287,real
232,2013-01-01,Brasil,Europa,"Alemanha, República Democrática",61699,265978,574647.466463241,real
233,2013-01-01,Brasil,África,Angola,1573,9300,20092.719841897233,real
234,2013-01-01,Brasil,América Central,Antilhas Holandesas,11281,19565,42270.32943083004,real
235,2013-01-01,Brasil,Oceania,Austrália,16707,101715,219756.02136758892,real
236,2013-01-01,Brasil,América do Norte,Bahamas,581,5145,11115.811138339921,real
237,2013-01-01,Brasil,América do Sul,Bolívia,19147,25998,56168.87424189723,real
238,2013-01-01,Brasil,Europa,Bélgica,22461,95893,207177.54664505928,real
239,2013-01-01,Brasil,América do Norte,Canadá,25329,174643,377317.5130482213,real
240,2013-01-01,Brasil,Ásia,China,40929,279956,604847.0404363637,real
241,2013-01-01,Brasil,Ásia,Cingapura,766,5779,12485.572899604742,real
242,2013-01-01,Brasil,América do Sul,Colômbia,8,30,64.81522529644269,real
243,2013-01-01,Brasil,Europa,Dinamarca,17892,101915,220188.1228695652,real
244,2013-01-01,Brasil,Europa,Espanha,1972980,3748940,8099613.024094861,real
245,2013-01-01,Brasil,América do Norte,Estados Unidos,245368,786556,1699360.1449422925,real
246,2013-01-01,Brasil,Europa,Finlândia,36682,283114,611669.9231525691,real
247,2013-01-01,Brasil,Europa,França,6885,42256,91294.4053375494,real
248,2013-01-01,Brasil,África,Guine Equatorial,1108,5336,11528.468072727272,real
249,2013-01-01,Brasil,Ásia,Hong Kong,16013,61224,132274.91178498024,real
250,2013-01-01,Brasil,Europa,Itália,1710,11967,25854.793370750987,real
251,2013-01-01,Brasil,Ásia,Japão,91988,429088,927047.8463999999,real
252,2013-01-01,Brasil,Europa,Luxemburgo,5135,29474,63678.79834624506,real
253,2013-01-01,Brasil,África,Nigéria,1350,2245,4850.339359683794,real
254,2013-01-01,Brasil,Europa,Noruega,2375,19008,41066.92674782609,real
255,2013-01-01,Brasil,Oceania,Nova Zelândia,1004,4092,8840.796730434782,real
256,2013-01-01,Brasil,América do Sul,Paraguai,481564,680828,1470934.0069375494,real
257,2013-01-01,Brasil,Europa,Países Baixos,57792,255690,552420.165201581,real
258,2013-01-01,Brasil,Europa,Polônia,19249,90960,196519.76309881423,real
259,2013-01-01,Brasil,Europa,Portugal,23810,17627,38083.26587667984,real
260,2013-01-01,Brasil,África,Quênia,6,4,8.642030039525691,real
261,2013-01-01,Brasil,Europa,Reino Unido,59161,305005,658965.5930513834,real
262,2013-01-01,Brasil,Europa,Rússia,5893291,14795694,31966208.000907507,real
263,2013-01-01,Brasil,América do Sul,Suriname,1800,2960,6395.1022292490115,real
264,2013-01-01,Brasil,Europa,Suécia,3195,20183,43605.523071936754,real
265,2013-01-01,Brasil,Europa,Suíça,2997,29785,64350.71618181818,real
266,2013-01-01,Brasil,Europa,"Tcheca, República",3697,23549,50877.79135019763,real
267,2013-01-01,Brasil,América do Sul,Uruguai,1526,13343,28827.651704347823,real
268,2014-01-01,Brasil,Europa,"Alemanha, República Democrática",213348,761653,1793476.3610446642,real
269,2014-01-01,Brasil,África,Angola,12182,23124,54450.44839683795,real
270,2014-01-01,Brasil,América Central,Antilhas Holandesas,4455,7169,16880.95764387352,real
271,2014-01-01,Brasil,América do Sul,Argentina,20385,95130,224004.11503162057,real
272,2014-01-01,Brasil,América Central,Aruba,450,755,1777.8104367588935,real
273,2014-01-01,Brasil,Oceania,Austrália,6308,43709,102922.27335138341,real
274,2014-01-01,Brasil,América do Sul,Bolívia,12534,18303,43098.36347549407,real
275,2014-01-01,Brasil,Europa,Bélgica,151320,704093,1657938.9190051386,real
276,2014-01-01,Brasil,América do Norte,Canadá,35082,226875,534226.1494565218,real
277,2014-01-01,Brasil,Ásia,China,64040,455340,1072196.2970513834,real
278,2014-01-01,Brasil,Ásia,Cingapura,541,3887,9152.780354545455,real
279,2014-01-01,Brasil,América do Norte,Cuba,38875,43200,101723.72300395257,real
280,2014-01-01,Brasil,Europa,Dinamarca,3240,16871,39726.41043517787,real
281,2014-01-01,Brasil,Ásia,Emirados Arabes Unidos,640,3381,7961.294154545455,real
282,2014-01-01,Brasil,América do Norte,Estados Unidos,222267,494216,1163738.2288916998,real
283,2014-01-01,Brasil,Europa,Finlândia,12960,94962,223608.5227754941,real
284,2014-01-01,Brasil,Europa,França,33755,167807,395137.79597509885,real
285,2014-01-01,Brasil,África,Guine Equatorial,5646,11983,28216.559554545456,real
286,2014-01-01,Brasil,Ásia,Hong Kong,18130,63534,149604.5142901186,real
287,2014-01-01,Brasil,Europa,Itália,604,2492,5867.951799209487,real
288,2014-01-01,Brasil,Ásia,Japão,106426,401774,946063.5899581029,real
289,2014-01-01,Brasil,Europa,Luxemburgo,8281,52400,123387.10845849804,real
290,2014-01-01,Brasil,América do Norte,México,1521,24336,57304.363958893286,real
291,2014-01-01,Brasil,Europa,Noruega,7179,50464,118828.37864980238,real
292,2014-01-01,Brasil,Oceania,Nova Zelândia,2800,13675,32200.7387055336,real
293,2014-01-01,Brasil,América do Sul,Paraguai,521847,908028,2138147.8877739133,real
294,2014-01-01,Brasil,Europa,Países Baixos,165289,773767,1822001.3883703558,real
295,2014-01-01,Brasil,Europa,Polônia,30181,107957,254208.05473003956,real
296,2014-01-01,Brasil,Europa,Portugal,71544,79141,186354.56394110675,real
297,2014-01-01,Brasil,Europa,Reino Unido,305807,1373747,3234783.7802201584,real
298,2014-01-01,Brasil,Europa,Rússia,190656,61440,144673.73938339922,real
299,2014-01-01,Brasil,América do Sul,Suriname,6,19,44.73960039525692,real
300,2014-01-01,Brasil,Europa,Suécia,10404,51057,120224.72512529645,real
301,2014-01-01,Brasil,Europa,Suíça,27933,231762,545733.645621344,real
302,2014-01-01,Brasil,Ásia,Taiwan (FORMOSA),12519,67907,159901.68652845852,real
303,2014-01-01,Brasil,Europa,"Tcheca, República",4500,35005,82426.82693873519,real
304,2014-01-01,Brasil,América Central,Trinidade Tobago,360,1600,3767.545296442688,real
305,2014-01-01,Brasil,América do Sul,Venezuela,14,232,546.2940679841897,real
306,2015-01-01,Brasil,Europa,"Alemanha, República Democrática",10680,44780,149506.80688000002,real
307,2015-01-01,Brasil,África,Angola,1908,17089,57054.975944000005,real
308,2015-01-01,Brasil,América Central,Antilhas Holandesas,6660,10545,35206.54932,real
309,2015-01-01,Brasil,Oceania,Austrália,7437,48011,160294.133656,real
310,2015-01-01,Brasil,América do Sul,Bolívia,10674,12990,43369.66104,real
311,2015-01-01,Brasil,Europa,Bélgica,4473,26399,88138.235704,real
312,2015-01-01,Brasil,América do Norte,Canadá,24547,118394,395281.57422400004,real
313,2015-01-01,Brasil,Ásia,China,47609,222866,744081.8227360001,real
