,Data,Tipo da uva,Nome da uva,Kilogramas
177,2009-01-01,TINTAS,Jaen,3642
178,2009-01-01,TINTAS,Lagrein,670
179,2009-01-01,TINTAS,Lambrusco,111537
180,2009-01-01,TINTAS,Malbec,393256
181,2009-01-01,TINTAS,Merlot,8876279
182,2009-01-01,TINTAS,Marselan,228360
183,2009-01-01,TINTAS,Molinera,650
184,2009-01-01,TINTAS,Montepulciano,21190
185,2009-01-01,TINTAS,Napa Gamay,74640
186,2009-01-01,TINTAS,Nebbiolo,14148
187,2009-01-01,TINTAS,Petit Verdot,56031
188,2009-01-01,TINTAS,Petite Sirah,121525
189,2009-01-01,TINTAS,Pinotage,978575
190,2009-01-01,TINTAS,Pinot Noir,1387200
191,2009-01-01,TINTAS,Pinot Saint George,29180
192,2009-01-01,TINTAS,Rebo,4240
193,2009-01-01,TINTAS,Refosco,10430
194,2009-01-01,TINTAS,Rondinella,648
195,2009-01-01,TINTAS,Ruby Cabernet,532095
196,2009-01-01,TINTAS,Sangiovese,303438
197,2009-01-01,TINTAS,Tannat,4199190
198,2009-01-01,TINTAS,Tempranillo,242484
199,2009-01-01,TINTAS,Teroldego,105372
200,2009-01-01,TINTAS,Tinta Barroca,6710
201,2009-01-01,TINTAS,Touriga Nacional,131833
202,2009-01-01,BRA,BRANCAS E ROSADAS,32556903
203,2009-01-01,BRANCAS E ROSADAS,Alvarinho,1675
204,2009-01-01,BRANCAS E ROSADAS,Arriloba,35375
205,2009-01-01,BRANCAS E ROSADAS,Chardonnay,4812743
206,2009-01-01,BRANCAS E ROSADAS,Chasselas,32425
207,2009-01-01,BRANCAS E ROSADAS,Chenin Blanc,347230
208,2009-01-01,BRANCAS E ROSADAS,Colombard,717624
209,2009-01-01,BRANCAS E ROSADAS,Flora,131760
210,2009-01-01,BRANCAS E ROSADAS,Garganega,3170
211,2009-01-01,BRANCAS E ROSADAS,Gewurztraminer,155338
212,2009-01-01,BRANCAS E ROSADAS,Gouveio,7830
213,2009-01-01,BRANCAS E ROSADAS,Gros Manseng,3289
214,2009-01-01,BRANCAS E ROSADAS,Italia (Pirovano 65) (PE),2650
215,2009-01-01,BRANCAS E ROSADAS,Malvasia Amarela,153905
216,2009-01-01,BRANCAS E ROSADAS,Malvasia Bianca,281064
217,2009-01-01,BRANCAS E ROSADAS,Malvasia Verde,331718
218,2009-01-01,BRANCAS E ROSADAS,Malvasia di Candia,739588
219,2009-01-01,BRANCAS E ROSADAS,Moscato Branco,14294841
220,2009-01-01,BRANCAS E ROSADAS,Moscato Canelli,61009
221,2009-01-01,BRANCAS E ROSADAS,Moscato Giallo,1446926
222,2009-01-01,BRANCAS E ROSADAS,Moscato Nazareno,858910
223,2009-01-01,BRANCAS E ROSADAS,Moscato Bianco R2,510594
224,2009-01-01,BRANCAS E ROSADAS,Moscato de Alexandria,87359
225,2009-01-01,BRANCAS E ROSADAS,Peverella,48994
226,2009-01-01,BRANCAS E ROSADAS,Pinot Blanc,8030
227,2009-01-01,BRANCAS E ROSADAS,Pinot Gris,52000
228,2009-01-01,BRANCAS E ROSADAS,Prosecco,2169397
229,2009-01-01,BRANCAS E ROSADAS,Riesling Italico,2466530
230,2009-01-01,BRANCAS E ROSADAS,Riesling Renano,90530
231,2009-01-01,BRANCAS E ROSADAS,Sauvignon Blanc(2),657286
232,2009-01-01,BRANCAS E ROSADAS,Sauvignon Gris,2147
233,2009-01-01,BRANCAS E ROSADAS,Semillon,382995
234,2009-01-01,BRANCAS E ROSADAS,Schonburger,16930
235,2009-01-01,BRANCAS E ROSADAS,Sylvaner,492
236,2009-01-01,BRANCAS E ROSADAS,Trebbiano,1578176
237,2009-01-01,BRANCAS E ROSADAS,Vermentino,1940
238,2009-01-01,BRANCAS E ROSADAS,Vernaccia,14498
239,2009-01-01,BRANCAS E ROSADAS,Viognier,49935
