,data,tipo_vinho,vinho,litro
151,2010-01-01,SUCO,Suco de uva reconstituído,0
152,2010-01-01,DERIVADOS,Espumante,10125
153,2010-01-01,DERIVADOS,Espumante moscatel,703393
154,2010-01-01,DERIVADOS,Base espumante,0
155,2010-01-01,DERIVADOS,Base espumante moscatel,1144508
156,2010-01-01,DERIVADOS,Base Champenoise champanha,92082
157,2010-01-01,DERIVADOS,Base Charmat champanha,254000
158,2010-01-01,DERIVADOS,Bebida de uva,7900
159,2010-01-01,DERIVADOS,Polpa de uva,1951606
160,2010-01-01,DERIVADOS,Mosto simples,45912040
161,2010-01-01,DERIVADOS,Mosto concentrado,0
162,2010-01-01,DERIVADOS,Mosto de uva com bagaço,0
163,2010-01-01,DERIVADOS,Mosto dessulfitado,0
164,2010-01-01,DERIVADOS,Mistelas,0
165,2010-01-01,DERIVADOS,Néctar de uva,0
166,2010-01-01,DERIVADOS,Licorosos,0
167,2010-01-01,DERIVADOS,Compostos,0
168,2010-01-01,DERIVADOS,Jeropiga,69000
169,2010-01-01,DERIVADOS,Filtrado,0
170,2010-01-01,DERIVADOS,Frisante,831000
171,2010-01-01,DERIVADOS,Vinho leve,0
172,2010-01-01,DERIVADOS,Vinho licoroso,15000
173,2010-01-01,DERIVADOS,Brandy,0
174,2010-01-01,DERIVADOS,Destilado,0
175,2010-01-01,DERIVADOS,Bagaceira,0
176,2010-01-01,DERIVADOS,Licor de bagaceira,0
177,2010-01-01,DERIVADOS,Vinagre,5817
178,2010-01-01,DERIVADOS,Borra líquida,64304
179,2010-01-01,DERIVADOS,Borra seca,149981
180,2010-01-01,DERIVADOS,Vinho Composto,0
181,2010-01-01,DERIVADOS,Pisco,0
182,2010-01-01,DERIVADOS,Vinho orgânico,0
183,2010-01-01,DERIVADOS,Espumante orgânico,0
184,2010-01-01,DERIVADOS,Destilado alcoólico simples de bagaceira ,0
185,2010-01-01,DERIVADOS,Vinho acidificado ,0
186,2010-01-01,DERIVADOS,Mosto parcialmente fermentado ,0
187,2010-01-01,DERIVADOS,Outros derivados,0
188,2011-01-01,VINHO DE MESA,Tinto,210113358
189,2011-01-01,VINHO DE MESA,Branco,46007504
190,2011-01-01,VINHO DE MESA,Rosado,1719887
191,2011-01-01,VINHO FINO DE MESA (VINÍFERA),Tinto,24104740
192,2011-01-01,VINHO FINO DE MESA (VINÍFERA),Branco,22739426
193,2011-01-01,VINHO FINO DE MESA (VINÍFERA),Rosado,754305
194,2011-01-01,SUCO,Suco de uva integral,39487800
195,2011-01-01,SUCO,Suco de uva concentrado,29564324
196,2011-01-01,SUCO,Suco de uva adoçado,312200
197,2011-01-01,SUCO,Suco de uva orgânico,0
198,2011-01-01,SUCO,Suco de uva reconstituído,0
199,2011-01-01,DERIVADOS,Espumante,26361
200,2011-01-01,DERIVADOS,Espumante moscatel,219100
201,2011-01-01,DERIVADOS,Base espumante,0
202,2011-01-01,DERIVADOS,Base espumante moscatel,2749540
203,2011-01-01,DERIVADOS,Base Champenoise champanha,74746
204,2011-01-01,DERIVADOS,Base Charmat champanha,865858
205,2011-01-01,DERIVADOS,Bebida de uva,0
206,2011-01-01,DERIVADOS,Polpa de uva,2480120
